,FAM,live_basal_area,LAI_sum,LAI_win,aspect_mean,aspect_std,canopy_height,CWD,elevation_mean,elevation_std,forest_cover,ppt_sum,ppt_win,tmax_sum,tmax_win,tmean_sum,tmean_win,vpdmax_sum,vpdmax_win,EVP_sum,PEVAP_sum,EVP_win,PEVAP_win,vsm_sum,vsm_win,location,silt_fraction,sand_fraction,twi
2,0.00459574655754,4.87709428481,1.07509933775,0.872991169978,193.357804275,101.767914644,17.32,620.456,1052.64444444,307.656450214,1.0,26.75,266.305555556,31.1111111111,14.9259259259,22.2314814815,8.48148148148,35.145531401,12.1320987654,138.0065,855.871,77.9185,390.7015,0.103314285714,0.1174,4,10.0,82.0,672
3,0.00331915035761,5.45390586967,0.976203090508,0.904116997792,193.357804275,101.767914644,17.32,821.987944444,1052.64444444,307.656450214,1.0,29.5555555556,188.861111111,31.9722222222,16.6481481481,23.3148148148,9.46296296296,36.8399758454,14.6611721612,79.37175,857.565,88.5905,435.98325,0.129547368421,0.226014285714,4,10.0,82.0,672
4,0.00229787327877,5.56056625062,0.843609271523,0.762273730684,193.357804275,101.767914644,17.32,956.017,1052.64444444,307.656450214,1.0,59.8611111111,145.555555556,30.8888888889,15.8148148148,22.5925925926,8.91666666667,34.5839371981,14.1675925926,52.25125,803.33025,76.10025,428.5235,0.083085106383,0.1061275,4,10.0,82.0,672
5,0.00191489444851,4.94977077539,0.737969094923,0.732086092715,193.357804275,101.767914644,17.32,1052.6337,1052.64444444,307.656450214,1.0,33.4722222222,118.666666667,30.25,19.2222222222,22.3425925926,11.9814814815,32.0102657005,18.3490740741,45.1275,785.36425,62.93525,475.04275,0.0888434782609,0.103086666667,4,10.0,82.0,672
6,0.00446808714561,5.33500008308,0.811655629139,0.781357615894,193.357804275,101.767914644,17.32,917.6024,1052.64444444,307.656450214,1.0,86.6666666667,118.444444444,29.8148148148,18.7222222222,22.0555555556,12.0277777778,30.8336352657,17.1836419753,99.025,814.1015,98.2455,433.84725,0.0912547169811,0.0934645833333,4,10.0,82.0,672
7,0.000141781825376,2.98722332438,0.873288888889,0.990722222222,192.879837931,101.729719501,13.12,1129.879,333.022222222,176.853886822,0.96,1.69444444444,111.111111111,32.4907407407,20.1388888889,24.4166666667,13.5648148148,33.9447463768,15.9095679012,41.7035,645.6275,78.92675,279.9925,0.1925,0.227933333333,8,31.0,56.0,384
8,0.000141781825376,3.4971342921,0.958588888889,0.985533333333,192.879837931,101.729719501,13.12,862.582,333.022222222,176.853886822,0.96,2.38888888889,267.861111111,29.9259259259,19.5,22.3703703704,13.2407407407,27.1657608696,14.062037037,99.22525,610.74725,76.40875,267.3395,0.157304166667,0.1784,8,31.0,56.0,384
9,0.000141781825376,3.24217880824,1.00293333333,1.06104444444,192.879837931,101.729719501,13.12,771.374,333.022222222,176.853886822,0.96,5.72222222222,199.666666667,30.1203703704,18.9814814815,22.9444444444,12.75,27.0123792271,13.925308642,115.412,617.47275,76.599,251.1805,0.132645833333,0.154867857143,8,31.0,56.0,384
10,0.000141781825376,3.24217880824,0.895222222222,0.990233333333,192.879837931,101.729719501,13.12,1007.5,333.022222222,176.853886822,0.96,11.2222222222,127.861111111,31.6203703704,20.1111111111,24.3703703704,13.4259259259,31.6751207729,16.2310744811,59.56225,648.42125,57.72575,311.1785,0.116425714286,0.245661538462,8,31.0,56.0,384
11,0.000141781825376,3.24217880824,0.821855555556,0.884111111111,192.879837931,101.729719501,13.12,1136.883,333.022222222,176.853886822,0.96,9.22222222222,104.916666667,30.5555555556,19.2407407407,23.4907407407,12.8148148148,28.3792270531,15.700617284,31.338,597.2805,56.568,311.49,0.11332,0.122662222222,8,31.0,56.0,384
12,0.000141781825376,3.24217880824,0.799244444444,0.672677777778,192.879837931,101.729719501,13.12,1178.7275,333.022222222,176.853886822,0.96,12.5277777778,110.583333333,31.1851851852,22.1296296296,24.2314814815,15.5648148148,29.9631642512,19.7151234568,35.1915,595.52275,44.5175,320.06025,0.116864912281,0.120802040816,8,31.0,56.0,384
13,0.000141781825376,3.24217880824,0.821555555556,1.00153333333,192.879837931,101.729719501,13.12,1132.766,333.022222222,176.853886822,0.96,64.2777777778,68.8888888889,30.4351851852,22.5925925926,24.0925925926,15.9814814815,27.8949275362,20.0398148148,65.067,594.8265,70.28125,296.943,0.113080701754,0.104838,8,31.0,56.0,384
15,0.00138540459815,19.0118703553,1.38192204301,0.725470430108,183.635917282,106.327255375,21.56,762.185083333,2096.12111111,493.216781051,1.0,6.94444444444,550.916666667,26.0833333333,9.59259259259,18.462962963,3.59259259259,25.2995169082,8.46697530864,108.5845,903.799,63.6935,335.55875,0.05016,0.0612454545455,18,31.0,51.0,378
16,0.00369441199294,18.9714950062,1.47556003584,0.868425179211,183.635917282,106.327255375,21.56,665.794319149,2096.12111111,493.216781051,1.0,45.4722222222,308.305555556,26.2222222222,9.49074074074,18.5925925926,3.52777777778,25.416968599,9.0287037037,137.404,863.0535,65.87175,365.6405,0.0519705882353,0.06412,18,31.0,51.0,378
17,0.00173175568049,19.0118703553,1.40201612903,1.08368055556,183.635917282,106.327255375,21.56,883.998104167,2096.12111111,493.216781051,1.0,36.7222222222,145.5,26.4814814815,11.4166666667,19.1666666667,4.83333333333,25.6745169082,11.166971917,48.268,852.775,52.32525,410.89375,0.0483846153846,0.0588666666667,18,31.0,51.0,378
18,0.000230900749559,17.3195221091,1.22239023297,0.982862903226,183.635917282,106.327255375,21.56,1004.81405128,2096.12111111,493.216781051,1.0,48.0277777778,125.333333333,25.8240740741,10.8611111111,18.7314814815,4.38888888889,25.5075483092,10.3,37.0135,791.64825,54.234,389.36375,0.0532770833333,0.0680821428571,18,31.0,51.0,378
19,0.00150085491413,20.1932754132,1.21423611111,1.00271057348,183.635917282,106.327255375,21.56,938.315108108,2096.12111111,493.216781051,1.0,57.75,206.583333333,25.8148148148,13.6666666667,18.6018518519,6.98148148148,25.0467995169,13.1283950617,47.15925,773.46875,44.6255,430.7005,0.05704,0.0645230769231,18,31.0,51.0,378
20,0.0184720613087,19.5402474825,1.17676971326,0.991991487455,183.635917282,106.327255375,21.56,888.485828571,2096.12111111,493.216781051,1.0,88.25,88.8888888889,24.8703703704,13.1759259259,17.9537037037,6.99074074074,23.3916062802,11.999691358,100.27875,842.519,82.354,388.307,0.0495,0.0620386363636,18,31.0,51.0,378
35,0.000121257534608,8.46121874685,1.10006756757,1.2278490991,181.90534712,103.32661807,21.6,967.4669375,738.184444444,399.06878185,0.96,1.41666666667,227.444444444,31.9814814815,17.2962962963,23.5925925926,11.25,36.9598429952,13.3145061728,34.77725,860.1005,134.97525,379.5175,0.15765625,0.182053225806,29,37.0,38.0,316
36,0.00509281640062,7.21278336235,1.32384009009,1.34876126126,181.90534712,103.32661807,21.6,738.1138,738.184444444,399.06878185,0.96,0.388888888889,415.444444444,29.8796296296,16.7685185185,21.787037037,10.7685185185,31.2536231884,12.1064814815,45.667,822.81,129.03125,349.50575,0.1672640625,0.20166,29,37.0,38.0,316
37,0.000363772630293,9.71800103205,1.39709459459,1.27081081081,181.90534712,103.32661807,21.6,665.072076923,738.184444444,399.06878185,0.96,1.80555555556,438.333333333,30.2407407407,16.5462962963,22.037037037,10.5,31.3294082126,12.6598765432,55.187,805.9205,123.77225,342.32075,0.17815,0.185318518519,29,37.0,38.0,316
39,0.00206137816775,7.47941408418,0.97152027027,1.19507882883,181.90534712,103.32661807,21.6,1032.88327273,738.184444444,399.06878185,0.96,0.777777777778,94.8055555556,30.6481481481,17.5740740741,22.8055555556,10.9351851852,33.422705314,14.237037037,22.33475,831.42575,128.45125,420.44725,0.191401694915,0.2184875,29,37.0,38.0,316
