,FAM,live_basal_area,LAI_sum,LAI_win,RWC,aspect_mean,aspect_std,canopy_height,CWD,elevation_mean,elevation_std,forest_cover,ppt_sum,ppt_win,tmax_sum,tmax_win,tmean_sum,tmean_win,vpdmax_sum,vpdmax_win,EVP_sum,PEVAP_sum,EVP_win,PEVAP_win,vsm_sum,vsm_win,location,silt_fraction,sand_fraction,twi_mean,twi_std,ndwi_sum,ndwi_win
0,0.032387915868,41.4525417709,2.91670217803,1.76508049242,0.158800943915,193.119293265,102.390302131,30.6,598.310388889,1623.02333333,228.212572713,0.994198,5.58333333333,565.027777778,29.1018518519,10.2592592593,20.6111111111,4.78703703704,34.4477657005,8.90432098765,121.015,841.08825,80.43725,138.703,0.147344285714,0.162886842105,183.0,0.23,0.67,374.461028192,155.295715526,0.00770549191232,0.221407311235
1,0.0654799137683,41.4525417709,2.99998816288,1.66722301136,0.700278168579,193.119293265,102.390302131,30.6,519.607232143,1623.02333333,228.212572713,0.994198,1.63888888889,511.833333333,27.4537037037,9.62037037037,19.287037037,4.4537037037,29.1542874396,7.31327160494,192.76275,758.2,73.63375,107.31075,0.155934782609,0.175601785714,183.0,0.23,0.67,374.461028192,155.295715526,0.0236037231223,0.21541050025
2,0.00915310669909,41.4525417709,3.18080018939,1.53939393939,0.78332086402,193.119293265,102.390302131,30.6,404.717839286,1623.02333333,228.212572713,0.994198,12.75,759.5,27.4537037037,8.86111111111,19.5648148148,3.62037037037,29.0803140097,7.69783950617,264.137,736.3225,65.253,85.49875,0.157629411765,0.1729525,183.0,0.23,0.67,374.461028192,155.295715526,0.025844948877,0.241068543823
3,0.00402334362973,41.4525417709,3.05458096591,2.20870028409,0.799235390419,193.119293265,102.390302131,30.6,674.280303571,1623.02333333,228.212572713,0.994198,16.3888888889,523.472222222,28.5740740741,10.5092592593,20.6851851852,4.98148148148,32.5634057971,8.94352869353,100.389,826.0855,64.719,58.4375,0.146408474576,0.194070833333,183.0,0.23,0.67,374.461028192,155.295715526,0.0171927082709,0.13676191926
4,0.0059344317953,41.4525417709,3.18388967803,2.11723484848,0.583922620723,193.119293265,102.390302131,30.6,633.921839286,1623.02333333,228.212572713,0.994198,35.9166666667,158.138888889,27.4537037037,10.7314814815,20.0925925926,4.94444444444,30.0905797101,9.88796296296,87.771,801.6305,92.99125,148.5715,0.148052631579,0.183827777778,183.0,0.23,0.67,374.461028192,155.295715526,0.0117752398502,0.13059109586
5,0.0266546499662,41.3713473325,2.99597537879,2.43160511364,0.56064556454,193.119293265,102.390302131,30.6,748.940484848,1623.02333333,228.212572713,0.994198,49.9166666667,536.805555556,27.6296296296,12.3055555556,20.462962963,7.0462962963,29.3743961353,10.4037037037,69.433,752.77075,92.4665,205.116,0.147063793103,0.189360416667,183.0,0.23,0.67,374.461028192,155.295715526,0.0115253389936,0.0636508652701
6,0.131362168691,41.8728231377,3.01504498106,2.72537878788,0.265317914213,193.119293265,102.390302131,30.6,722.874943396,1623.02333333,228.212572713,0.994198,13.1944444444,237.583333333,27.2685185185,14.3425925926,19.9074074074,8.81481481481,29.0,11.5719135802,77.6435,813.43925,137.82225,253.37025,0.14484137931,0.19413,183.0,0.23,0.67,374.461028192,155.295715526,0.0071290653648,0.0452302687493
7,0.024653668846,30.118859939,1.4216642925,0.412060778727,0.678679693646,195.683314539,101.096944355,18.68,596.35212963,2231.08777778,304.035772869,0.868025,10.0,590.916666667,23.5185185185,6.35185185185,16.6851851852,1.0462962963,25.3885869565,6.97160493827,194.88275,782.30725,50.815,155.51925,0.182894285714,0.1811325,184.0,0.27,0.49,340.955149502,172.520092667,-0.0321889497481,0.380281619789
8,0.0359436642419,30.118859939,1.49851614435,0.312701804368,0.937609174178,195.683314539,101.096944355,18.68,501.674660714,2231.08777778,304.035772869,0.868025,7.11111111111,515.916666667,22.4444444444,5.93518518519,15.3981481481,0.898148148148,22.4906400966,6.13179012346,257.63725,725.27075,47.86475,136.35075,0.191013043478,0.190533898305,184.0,0.27,0.49,340.955149502,172.520092667,-0.0216869300278,0.360513695549
9,0.0171654040317,30.118859939,1.46329534663,0.325961538462,0.879297167477,195.683314539,101.096944355,18.68,387.181892857,2231.08777778,304.035772869,0.868025,32.7222222222,737.361111111,22.3981481481,5.37962962963,15.6018518519,0.101851851852,21.8774154589,6.33919753086,296.133,702.27075,47.037,122.78475,0.189728787879,0.18706,184.0,0.27,0.49,340.955149502,172.520092667,-0.0135460791418,0.387995921266
10,0.00357132581324,30.118859939,1.39368471035,0.714589268756,0.17622575299,195.683314539,101.096944355,18.68,660.862660377,2231.08777778,304.035772869,0.868025,25.3055555556,480.944444444,23.6481481481,6.82407407407,17.1111111111,1.75,24.7264492754,7.20695970696,171.478,756.559,39.62475,104.185,0.185009259259,0.198,184.0,0.27,0.49,340.955149502,172.520092667,-0.0439657152468,0.273982091235
11,0.00610581474529,30.118859939,1.45277777778,0.53428300095,0.148167209884,195.683314539,101.096944355,18.68,614.49175,2231.08777778,304.035772869,0.868025,36.6944444444,153.055555556,22.3055555556,7.13888888889,16.1388888889,1.40740740741,23.1213768116,8.23333333333,178.83175,729.2115,53.77525,122.84975,0.194431666667,0.19785106383,184.0,0.27,0.49,340.955149502,172.520092667,-0.0310863601297,0.302244997343
